test_id,category,difficulty,query,expected_docs,retrieved_docs,num_chunks,precision,recall,f1_score,mrr,true_positives,false_positives,false_negatives,context_tokens,latency_ms
ecom_easy_001,returns,easy,Bagaimana cara return barang yang rusak?,policy_returns.md,policy_returns.md; troubleshooting_guide.md,2,0.5,1.0,0.667,1.0,policy_returns.md,troubleshooting_guide.md,None,315,240.51
ecom_easy_002,returns,easy,Berapa lama batas waktu return untuk produk elektronik?,policy_returns.md,policy_returns.md; product_faq.md; contact_escalation.md,2,0.333,1.0,0.5,1.0,policy_returns.md,contact_escalation.md; product_faq.md,None,249,10.42
ecom_easy_003,returns,easy,Apakah produk custom bisa di-return?,policy_returns.md,policy_returns.md; product_faq.md,4,0.5,1.0,0.667,1.0,policy_returns.md,product_faq.md,None,577,10.16
ecom_easy_004,returns,easy,Berapa lama refund cair ke rekening bank?,policy_returns.md,policy_returns.md; troubleshooting_guide.md,6,0.5,1.0,0.667,1.0,policy_returns.md,troubleshooting_guide.md,None,894,10.74
ecom_easy_005,contact,easy,Nomor customer service TokoPedia berapa?,contact_escalation.md,contact_escalation.md; product_faq.md,2,0.5,1.0,0.667,1.0,contact_escalation.md,product_faq.md,None,303,11.06
ecom_easy_006,contact,easy,Jam operasional live chat TokoPedia?,contact_escalation.md,contact_escalation.md,2,1.0,1.0,1.0,1.0,contact_escalation.md,None,None,321,11.39
ecom_easy_007,account,easy,Kenapa OTP tidak masuk ke HP saya?,troubleshooting_guide.md,troubleshooting_guide.md; product_faq.md; contact_escalation.md,1,0.333,1.0,0.5,1.0,troubleshooting_guide.md,contact_escalation.md; product_faq.md,None,158,11.2
ecom_easy_008,payment,easy,"Sudah bayar tapi status masih menunggu pembayaran, kenapa?",troubleshooting_guide.md,policy_returns.md; product_faq.md; troubleshooting_guide.md; contact_escalation.md,1,0.333,1.0,0.5,0.333,troubleshooting_guide.md,contact_escalation.md; policy_returns.md; product_faq.md,None,160,12.55
ecom_easy_009,shipping,easy,"Paket sudah 10 hari belum sampai, harus gimana?",troubleshooting_guide.md,product_faq.md; troubleshooting_guide.md; policy_returns.md; contact_escalation.md,1,0.333,1.0,0.5,0.5,troubleshooting_guide.md,contact_escalation.md; policy_returns.md; product_faq.md,None,145,10.71
ecom_easy_010,product,easy,Apa itu produk Pre-Order?,product_faq.md,product_faq.md; policy_returns.md,1,0.5,1.0,0.667,1.0,product_faq.md,policy_returns.md,None,148,9.89
ecom_easy_011,product,easy,Apakah transaksi di TokoPedia aman?,product_faq.md,policy_returns.md; product_faq.md,3,0.5,1.0,0.667,0.5,product_faq.md,policy_returns.md,None,465,9.8
ecom_easy_012,payment,easy,Berapa lama batas waktu bayar setelah checkout?,product_faq.md,policy_returns.md; contact_escalation.md; product_faq.md; troubleshooting_guide.md,6,0.333,1.0,0.5,0.333,product_faq.md,contact_escalation.md; troubleshooting_guide.md; policy_returns.md,None,881,10.72
ecom_easy_013,technical,easy,"Aplikasi sering crash, solusinya apa?",troubleshooting_guide.md,troubleshooting_guide.md; contact_escalation.md,1,0.5,1.0,0.667,1.0,troubleshooting_guide.md,contact_escalation.md,None,159,10.66
ecom_easy_014,contact,easy,Email CS TokoPedia apa ya?,contact_escalation.md,contact_escalation.md; troubleshooting_guide.md,2,0.5,1.0,0.667,1.0,contact_escalation.md,troubleshooting_guide.md,None,299,9.56
ecom_easy_015,returns,easy,Apakah ongkir di-refund kalau return?,policy_returns.md,policy_returns.md,2,1.0,1.0,1.0,1.0,policy_returns.md,None,None,329,8.97
ecom_medium_001,returns,medium,"Saya mau return barang tapi penjual tidak respon sudah 3 hari, bagaimana?",policy_returns.md; contact_escalation.md,policy_returns.md,3,1.0,0.5,0.667,1.0,policy_returns.md,None,contact_escalation.md,481,10.79
ecom_medium_002,payment,medium,"Bayar sudah terpotong tapi pesanan gagal, uangnya kapan balik?",troubleshooting_guide.md; policy_returns.md,policy_returns.md; product_faq.md,6,0.5,0.5,0.5,1.0,policy_returns.md,product_faq.md,troubleshooting_guide.md,873,49.7
ecom_medium_003,shipping,medium,"Paket diterima rusak, tapi sudah saya klik terima pesanan. Masih bisa komplain?",troubleshooting_guide.md; policy_returns.md,troubleshooting_guide.md; policy_returns.md,2,1.0,1.0,1.0,1.0,troubleshooting_guide.md; policy_returns.md,None,None,314,22.03
ecom_medium_004,account,medium,"Akun saya ter-hack dan ada transaksi mencurigakan, langkah apa yang harus dilakukan?",troubleshooting_guide.md; contact_escalation.md,troubleshooting_guide.md; product_faq.md; contact_escalation.md,2,0.667,1.0,0.8,1.0,contact_escalation.md; troubleshooting_guide.md,product_faq.md,None,281,10.92
ecom_medium_005,returns,medium,"Mau tukar ukuran baju yang sudah dibeli, prosesnya bagaimana?",policy_returns.md,policy_returns.md; product_faq.md,6,0.5,1.0,0.667,1.0,policy_returns.md,product_faq.md,None,894,10.09
ecom_medium_006,returns,medium,"Saya beli paket bundle, bisa return salah satu item saja atau harus semua?",policy_returns.md,policy_returns.md; troubleshooting_guide.md,2,0.5,1.0,0.667,1.0,policy_returns.md,troubleshooting_guide.md,None,270,10.55
ecom_medium_007,contact,medium,Response time CS berapa lama untuk kasus yang high priority?,contact_escalation.md,contact_escalation.md; policy_returns.md; product_faq.md,1,0.333,1.0,0.5,1.0,contact_escalation.md,policy_returns.md; product_faq.md,None,169,9.47
ecom_medium_008,payment,medium,"Voucher tidak bisa dipakai padahal belum expired, kenapa ya?",product_faq.md,product_faq.md; troubleshooting_guide.md; policy_returns.md,2,0.333,1.0,0.5,1.0,product_faq.md,troubleshooting_guide.md; policy_returns.md,None,300,10.28
ecom_hard_001,returns,hard,"Barang sampai rusak, seller bilang ini custom order jadi tidak bisa return. Tapi di listing tidak ada informasi itu sama sekali. Apa hak saya sebagai pembeli?",policy_returns.md; product_faq.md,policy_returns.md; product_faq.md,6,1.0,1.0,1.0,1.0,policy_returns.md; product_faq.md,None,None,987,16.05
ecom_hard_002,contact,hard,Saya sudah eskalasi masalah ke CS biasa tapi tidak ada solusi setelah 5 hari. Penjual tetap tidak mau proses refund padahal barang tidak dikirim. Langkah terakhir saya apa? Apakah bisa langsung ke tim legal atau ada jalur lain?,contact_escalation.md; policy_returns.md,contact_escalation.md; policy_returns.md; product_faq.md,6,0.667,1.0,0.8,1.0,contact_escalation.md; policy_returns.md,product_faq.md,None,891,16.87
ecom_edge_001,returns,easy,gmna cra retrn brng yg rusk?,policy_returns.md,policy_returns.md; contact_escalation.md,6,0.5,1.0,0.667,1.0,policy_returns.md,contact_escalation.md,None,890,11.62
ecom_edge_002,contact,easy,cs ny gmn kontk ny,contact_escalation.md,troubleshooting_guide.md; contact_escalation.md; policy_returns.md,6,0.333,1.0,0.5,0.5,contact_escalation.md,troubleshooting_guide.md; policy_returns.md,None,952,10.27
ecom_edge_003,product,medium,Saya mau komplain produk tapi juga mau tanya promo,policy_returns.md; product_faq.md,product_faq.md; policy_returns.md; troubleshooting_guide.md,6,0.667,1.0,0.8,1.0,policy_returns.md; product_faq.md,troubleshooting_guide.md,None,964,9.66
ecom_edge_004,returns,easy,Refund atau ganti barang?,policy_returns.md,policy_returns.md; product_faq.md,6,0.5,1.0,0.667,1.0,policy_returns.md,product_faq.md,None,872,9.59
ecom_edge_005,out_of_scope,easy,Resep nasi goreng yang enak apa ya?,None,policy_returns.md; product_faq.md,6,0.0,1.0,0.0,0.0,None,policy_returns.md; product_faq.md,None,847,9.86
