query_id,difficulty,category,query_text,expected_docs,retrieved_docs,num_chunks,precision,recall,f1_score,mrr,chunk_1_preview,chunk_1_preview (bge3),chunk_2_preview,chunk_2_preview (bge3),chunk_3_preview,context_tokens,context_tokens (bge3),inspection_notes
ecom_easy_001,easy,returns,Bagaimana cara return barang yang rusak?,policy_returns.md,policy_returns.md,1,1,1,1,1,"# Kebijakan Return & Refund - TokoPedia

## Ketentuan Umum Return

### Produk yang BISA di-return:
- Produk rusak/cacat dari pabrik
- Produk tidak sesuai deskripsi/foto
- Produk salah kirim...","# Kebijakan Return & Refund - TokoPedia

## Ketentuan Umum Return

### Produk yang BISA di-return:
- Produk rusak/cacat dari pabrik
- Produk tidak sesuai deskripsi/foto
- Produk salah kirim...",,,,76,76,"✂️ dokumen sesuai, namun text tidak sesuai, harusnya berikan intruksi yang panjang sepeti di dokumen"
ecom_easy_002,easy,returns,Berapa lama batas waktu return untuk produk elektronik?,policy_returns.md,policy_returns.md,1,1,1,1,1,"### Produk yang TIDAK BISA di-return:
- Produk digital (voucher, software, top-up)
- Makanan, minuman, dan produk kadaluarsa
- Produk custom/made-by-order
- Produk yang sudah dibuka segel khusus
-...","### Produk yang TIDAK BISA di-return:
- Produk digital (voucher, software, top-up)
- Makanan, minuman, dan produk kadaluarsa
- Produk custom/made-by-order
- Produk yang sudah dibuka segel khusus
-...",,,,122,122,"✂️ dokumen sesuai, namun text tidak sesuai"
ecom_easy_003,easy,returns,Apakah produk custom bisa di-return?,policy_returns.md,policy_returns.md,2,1,1,1,1,"### Produk yang TIDAK BISA di-return:
- Produk digital (voucher, software, top-up)
- Makanan, minuman, dan produk kadaluarsa
- Produk custom/made-by-order
- Produk yang sudah dibuka segel khusus
-...","# Kebijakan Return & Refund - TokoPedia

## Ketentuan Umum Return

### Produk yang BISA di-return:
- Produk rusak/cacat dari pabrik
- Produk tidak sesuai deskripsi/foto
- Produk salah kirim...",#...,"### Produk yang TIDAK BISA di-return:
- Produk digital (voucher, software, top-up)
- Makanan, minuman, dan produk kadaluarsa
- Produk custom/made-by-order
- Produk yang sudah dibuka segel ...",,199,322,"  ✅ Perfect nih, dokumen sesuai, text sesuai, dan token relatif hemat "
ecom_easy_004,easy,returns,Berapa lama refund cair ke rekening bank?,policy_returns.md,troubleshooting_guide.md | policy_returns.md | product_faq.md,3,0.333,1,0.5,0.5,"## Masalah Pembayaran

### Pembayaran gagal tapi saldo terpotong
**Gejala:** Notifikasi gagal tapi uang sudah terpotong dari rekening

**Solusi:**
1. **Jangan bayar ulang!**
2. Cek status pesanan...","## Kebijakan Refund

### Metode Refund:
1. **Saldo TokoPedia** (instant)
2. **Rekening Bank** (3-7 hari kerja)
3. **Kartu Kredit** (7-14 hari kerja)
4. **E-wallet** (1-3 hari kerja)","## Kebijakan Refund

### Metode Refund:
1. **Saldo TokoPedia** (instant)...","## Masalah Pembayaran

### Pembayaran gagal tapi saldo terpotong
**Gejala:** Notifikasi gagal tapi uang sudah terpotong dari rekening

**Solusi:**
1. **Jangan bayar ulang!**
2. Cek status pesanan...",,268,268,"✂️ text tidak sesuai, dan banyak dokumen lain yang dimasukkan, dan rank nya salah "
ecom_easy_005,easy,contact,Nomor customer service TokoPedia berapa?,contact_escalation.md,contact_escalation.md,1,1,1,1,1,"# Prosedur Kontak & Eskalasi - TokoPedia Customer Service

## Level 1: Self-Service

### Help Center Online
- **URL**: help.tokopedia.com
- **Tersedia**: 24/7
- **Gunakan untuk**: FAQ, tutorial,...","# Prosedur Kontak & Eskalasi - TokoPedia Customer Service

## Level 1: Self-Service

### Help Center Online
- **URL**: help.tokopedia.com
- **Tersedia**: 24/7
- **Gunakan untuk**: FAQ, tutorial,...",,,,100,100,"✂️ dokumen sesuai, namun text tidak sesuai"
ecom_easy_006,easy,contact,Jam operasional live chat TokoPedia?,contact_escalation.md,contact_escalation.md,1,1,1,1,1,"### Community Forum
- **URL**: community.tokopedia.com
- **Best for**: Tips, diskusi, sharing pengalaman
- **Moderator response**: 1-2 hari kerja

## Level 2: Customer Service

### Live Chat
- **Jam...","### Community Forum
- **URL**: community.tokopedia.com
- **Best for**: Tips, diskusi, sharing pengalaman
- **Moderator response**: 1-2 hari kerja

## Level 2: Customer Service

### Live Chat
- **Jam...",,,,97,97,"✂️ dokumen sesuai, namun text Kepotong, dikit lagi sesuai"
ecom_easy_007,easy,account,Kenapa OTP tidak masuk ke HP saya?,troubleshooting_guide.md,troubleshooting_guide.md,1,1,1,1,1,"# Troubleshooting Guide - TokoPedia Customer Service

## Masalah Login dan Akun

### Tidak bisa login ke akun
**Gejala:** Error ""Username/password salah"" atau ""Akun tidak ditemukan""

**Solusi:**
1....","# Troubleshooting Guide - TokoPedia Customer Service

## Masalah Login dan Akun

### Tidak bisa login ke akun
**Gejala:** Error ""Username/password salah"" atau ""Akun tidak ditemukan""

**Solusi:**
1....",,,,111,111,"✂️ dokumen sesuai, namun text tidak sesuai"
ecom_easy_008,easy,payment,"Sudah bayar tapi status masih menunggu pembayaran, kenapa?",troubleshooting_guide.md,troubleshooting_guide.md | product_faq.md | policy_returns.md,1,0.333,1,0.5,1,"## Masalah Pembayaran

### Pembayaran gagal tapi saldo terpotong
**Gejala:** Notifikasi gagal tapi uang sudah terpotong dari rekening

**Solusi:**
1. **Jangan bayar ulang!**
2. Cek status pesanan...","## Masalah Pembayaran

### Pembayaran gagal tapi saldo terpotong
**Gejala:** Notifikasi gagal tapi uang sudah terpotong dari rekening

**Solusi:**
1. **Jangan bayar ulang!**
2. Cek status pesanan...",,,,105,105,
ecom_easy_009,easy,shipping,"Paket sudah 10 hari belum sampai, harus gimana?",troubleshooting_guide.md,troubleshooting_guide.md | policy_returns.md,1,0.5,1,0.667,1,"### Alamat pengiriman salah
**Jika belum dikirim:**
- Hubungi penjual SEGERA untuk ubah alamat
- Biaya perubahan ditanggung pembeli

**Jika sudah dikirim:**
- Koordinasi dengan kurir untuk redirect...","### Alamat pengiriman salah
**Jika belum dikirim:**
- Hubungi penjual SEGERA untuk ubah alamat
- Biaya perubahan ditanggung pembeli

**Jika sudah dikirim:**
- Koordinasi dengan kurir untuk redirect...",,,,125,125,
ecom_easy_010,easy,product,Apa itu produk Pre-Order?,product_faq.md,product_faq.md | policy_returns.md,1,0.5,1,0.667,1,"### Q: Apa itu produk ""Ready Stock"" dan ""Pre-Order""?
**A:** 
- **Ready Stock**: Produk tersedia dan siap dikirim dalam 1-2 hari kerja
- **Pre-Order**: Produk akan tersedia dalam 7-30 hari. Waktu...","### Q: Apa itu produk ""Ready Stock"" dan ""Pre-Order""?
**A:** 
- **Ready Stock**: Produk tersedia dan siap dikirim dalam 1-2 hari kerja
- **Pre-Order**: Produk akan tersedia dalam 7-30 hari. Waktu...",,,,121,121,
ecom_easy_011,easy,product,Apakah transaksi di TokoPedia aman?,product_faq.md,product_faq.md | policy_returns.md,2,0.5,1,0.667,1,"## Keamanan Transaksi

### Q: Apakah transaksi di TokoPedia aman?
**A:** Ya, kami menggunakan:
- Enkripsi SSL untuk semua transaksi
- Sistem escrow (dana ditahan sampai barang diterima)
- Verifikasi...","## Keamanan Transaksi

### Q: Apakah transaksi di TokoPedia aman?
**A:** Ya, kami menggunakan:
- Enkripsi SSL untuk semua transaksi
- Sistem escrow (dana ditahan sampai barang diterima)
- Verifikasi...","### Q: Bagaimana jika saya menerima produk palsu?
**A:** Segera laporkan melalui:
1. Klik ""Komplain"" di detail pesanan
2. Upload bukti foto/video
3. Tim kami akan investigasi dalam 2x24 jam
4. Dana...","### Q: Bagaimana jika saya menerima produk palsu?
**A:** Segera laporkan melalui:
1. Klik ""Komplain"" di detail pesanan
2. Upload bukti foto/video
3. Tim kami akan investigasi dalam 2x24 jam
4. Dana...",,193,193,
ecom_easy_012,easy,payment,Berapa lama batas waktu bayar setelah checkout?,product_faq.md,product_faq.md | policy_returns.md | troubleshooting_guide.md,1,0.333,1,0.5,1,"### Q: Berapa lama batas waktu pembayaran?
**A:** 
- Transfer Bank/VA: 24 jam
- E-wallet: 2 jam
- Kartu Kredit/Debit: Instant
- Setelah batas waktu, pesanan otomatis dibatalkan

### Q: Apakah bisa...","### Q: Berapa lama batas waktu pembayaran?
**A:** 
- Transfer Bank/VA: 24 jam
- E-wallet: 2 jam
- Kartu Kredit/Debit: Instant
- Setelah batas waktu, pesanan otomatis dibatalkan

### Q: Apakah bisa...",,,,115,115,
ecom_easy_013,easy,technical,"Aplikasi sering crash, solusinya apa?",troubleshooting_guide.md,troubleshooting_guide.md | contact_escalation.md,1,0.5,1,0.667,1,"## Masalah Teknis Aplikasi

### Aplikasi sering crash/force close
**Troubleshooting:**
1. Update ke versi terbaru
2. Clear cache aplikasi
3. Restart device
4. Reinstall aplikasi
5. Cek storage...","## Masalah Teknis Aplikasi

### Aplikasi sering crash/force close
**Troubleshooting:**
1. Update ke versi terbaru
2. Clear cache aplikasi
3. Restart device
4. Reinstall aplikasi
5. Cek storage...",,,,102,102,
ecom_easy_014,easy,contact,Email CS TokoPedia apa ya?,contact_escalation.md,contact_escalation.md,3,1,1,1,1,"# Prosedur Kontak & Eskalasi - TokoPedia Customer Service

## Level 1: Self-Service

### Help Center Online
- **URL**: help.tokopedia.com
- **Tersedia**: 24/7
- **Gunakan untuk**: FAQ, tutorial,...","### Partnership/B2B:
- Email: partnership@tokopedia.com
- Untuk kerja sama bisnis only

### Kantor Pusat:
```
Tokopedia Tower
Jl. Prof. Dr. Satrio Kav. 11
Jakarta 12950
(Tidak melayani walk-in...","### Template komunikasi efektif:
```
Halo CS, saya [nama] mengalami [masalah].
Order ID: ...",,,343,114,
ecom_easy_015,easy,returns,Apakah ongkir di-refund kalau return?,policy_returns.md,policy_returns.md,2,1,1,1,1,"## FAQ Return/Refund

### Q: Bolehkah return karena tidak suka?
**A:** Tergantung kebijakan toko. Beberapa toko terima ""change of mind"" tapi ongkir ditanggung pembeli.

### Q: Bagaimana jika penjual...","### Nominal Refund:
- **100% refund** untuk:
  - Produk tidak dikirim
  - Produk palsu dari Official Store
  - Kesalahan sistem TokoPedia
  
- **Refund - ongkir** untuk:
  - Return karena berubah...",,,,247,231,
