test_id,category,difficulty,query,expected_docs,retrieved_docs,num_chunks,precision,recall,f1_score,mrr,true_positives,false_positives,false_negatives,context_tokens,latency_ms
ecom_easy_001,returns,easy,Bagaimana cara return barang yang rusak?,policy_returns.md,policy_returns.md,1,1.0,1.0,1.0,1.0,policy_returns.md,None,None,33,69.88
ecom_easy_002,returns,easy,Berapa lama batas waktu return untuk produk elektronik?,policy_returns.md,policy_returns.md; product_faq.md,3,0.5,1.0,0.667,1.0,policy_returns.md,product_faq.md,None,110,25.42
ecom_easy_003,returns,easy,Apakah produk custom bisa di-return?,policy_returns.md,policy_returns.md,3,1.0,1.0,1.0,1.0,policy_returns.md,None,None,127,24.82
ecom_easy_004,returns,easy,Berapa lama refund cair ke rekening bank?,policy_returns.md,troubleshooting_guide.md; product_faq.md; policy_returns.md,3,0.333,1.0,0.5,0.333,policy_returns.md,troubleshooting_guide.md; product_faq.md,None,131,27.04
ecom_easy_005,contact,easy,Nomor customer service TokoPedia berapa?,contact_escalation.md,contact_escalation.md; policy_returns.md,1,0.5,1.0,0.667,1.0,contact_escalation.md,policy_returns.md,None,62,26.92
ecom_easy_006,contact,easy,Jam operasional live chat TokoPedia?,contact_escalation.md,contact_escalation.md,3,1.0,1.0,1.0,1.0,contact_escalation.md,None,None,94,25.07
ecom_easy_007,account,easy,Kenapa OTP tidak masuk ke HP saya?,troubleshooting_guide.md,troubleshooting_guide.md,1,1.0,1.0,1.0,1.0,troubleshooting_guide.md,None,None,60,24.26
ecom_easy_008,payment,easy,"Sudah bayar tapi status masih menunggu pembayaran, kenapa?",troubleshooting_guide.md,troubleshooting_guide.md; policy_returns.md,2,0.5,1.0,0.667,1.0,troubleshooting_guide.md,policy_returns.md,None,134,25.3
ecom_easy_009,shipping,easy,"Paket sudah 10 hari belum sampai, harus gimana?",troubleshooting_guide.md,product_faq.md; troubleshooting_guide.md; policy_returns.md,3,0.333,1.0,0.5,0.5,troubleshooting_guide.md,product_faq.md; policy_returns.md,None,146,25.47
ecom_easy_010,product,easy,Apa itu produk Pre-Order?,product_faq.md,product_faq.md; policy_returns.md,3,0.5,1.0,0.667,1.0,product_faq.md,policy_returns.md,None,152,26.98
ecom_easy_011,product,easy,Apakah transaksi di TokoPedia aman?,product_faq.md,product_faq.md; policy_returns.md,1,0.5,1.0,0.667,1.0,product_faq.md,policy_returns.md,None,31,26.73
ecom_easy_012,payment,easy,Berapa lama batas waktu bayar setelah checkout?,product_faq.md,product_faq.md; troubleshooting_guide.md; policy_returns.md,3,0.333,1.0,0.5,1.0,product_faq.md,troubleshooting_guide.md; policy_returns.md,None,135,24.56
ecom_easy_013,technical,easy,"Aplikasi sering crash, solusinya apa?",troubleshooting_guide.md,troubleshooting_guide.md; contact_escalation.md,3,0.5,1.0,0.667,1.0,troubleshooting_guide.md,contact_escalation.md,None,162,26.8
ecom_easy_014,contact,easy,Email CS TokoPedia apa ya?,contact_escalation.md,contact_escalation.md,3,1.0,1.0,1.0,1.0,contact_escalation.md,None,None,70,25.95
