test_id,category,difficulty,query,expected_docs,retrieved_docs,num_chunks,precision,recall,f1_score,mrr,true_positives,false_positives,false_negatives,context_tokens,latency_ms
ecom_easy_001,returns,easy,Bagaimana cara return barang yang rusak?,policy_returns.md,policy_returns.md,3,1.0,1.0,1.0,1.0,policy_returns.md,None,None,232,174.21
ecom_easy_002,returns,easy,Berapa lama batas waktu return untuk produk elektronik?,policy_returns.md,policy_returns.md,1,1.0,1.0,1.0,1.0,policy_returns.md,None,None,87,127.49
ecom_easy_003,returns,easy,Apakah produk custom bisa di-return?,policy_returns.md,policy_returns.md,2,1.0,1.0,1.0,1.0,policy_returns.md,None,None,167,82.23
ecom_easy_004,returns,easy,Berapa lama refund cair ke rekening bank?,policy_returns.md,troubleshooting_guide.md; product_faq.md; policy_returns.md,3,0.333,1.0,0.5,0.333,policy_returns.md,troubleshooting_guide.md; product_faq.md,None,185,80.5
ecom_easy_005,contact,easy,Nomor customer service TokoPedia berapa?,contact_escalation.md,contact_escalation.md,3,1.0,1.0,1.0,1.0,contact_escalation.md,None,None,188,79.6
ecom_easy_006,contact,easy,Jam operasional live chat TokoPedia?,contact_escalation.md,contact_escalation.md,3,1.0,1.0,1.0,1.0,contact_escalation.md,None,None,108,81.39
ecom_easy_007,account,easy,Kenapa OTP tidak masuk ke HP saya?,troubleshooting_guide.md,troubleshooting_guide.md,1,1.0,1.0,1.0,1.0,troubleshooting_guide.md,None,None,60,79.19
ecom_easy_008,payment,easy,"Sudah bayar tapi status masih menunggu pembayaran, kenapa?",troubleshooting_guide.md,troubleshooting_guide.md; contact_escalation.md,2,0.5,1.0,0.667,1.0,troubleshooting_guide.md,contact_escalation.md,None,134,80.05
ecom_easy_009,shipping,easy,"Paket sudah 10 hari belum sampai, harus gimana?",troubleshooting_guide.md,troubleshooting_guide.md; contact_escalation.md,1,0.5,1.0,0.667,1.0,troubleshooting_guide.md,contact_escalation.md,None,69,80.72
ecom_easy_010,product,easy,Apa itu produk Pre-Order?,product_faq.md,product_faq.md; policy_returns.md,3,0.5,1.0,0.667,1.0,product_faq.md,policy_returns.md,None,169,78.72
ecom_easy_011,product,easy,Apakah transaksi di TokoPedia aman?,product_faq.md,product_faq.md; contact_escalation.md; policy_returns.md,1,0.333,1.0,0.5,1.0,product_faq.md,policy_returns.md; contact_escalation.md,None,31,78.8
ecom_easy_012,payment,easy,Berapa lama batas waktu bayar setelah checkout?,product_faq.md,product_faq.md; policy_returns.md; contact_escalation.md,3,0.333,1.0,0.5,1.0,product_faq.md,policy_returns.md; contact_escalation.md,None,127,78.74
ecom_easy_013,technical,easy,"Aplikasi sering crash, solusinya apa?",troubleshooting_guide.md,troubleshooting_guide.md,3,1.0,1.0,1.0,1.0,troubleshooting_guide.md,None,None,203,79.18
ecom_easy_014,contact,easy,Email CS TokoPedia apa ya?,contact_escalation.md,contact_escalation.md,1,1.0,1.0,1.0,1.0,contact_escalation.md,None,None,88,80.7
ecom_easy_015,returns,easy,Apakah ongkir di-refund kalau return?,policy_returns.md,policy_returns.md,1,1.0,1.0,1.0,1.0,policy_returns.md,None,None,64,84.87
ecom_medium_001,returns,medium,"Saya mau return barang tapi penjual tidak respon sudah 3 hari, bagaimana?",policy_returns.md; contact_escalation.md,policy_returns.md; contact_escalation.md; troubleshooting_guide.md,3,0.667,1.0,0.8,1.0,policy_returns.md; contact_escalation.md,troubleshooting_guide.md,None,134,80.35
ecom_medium_002,payment,medium,"Bayar sudah terpotong tapi pesanan gagal, uangnya kapan balik?",troubleshooting_guide.md; policy_returns.md,troubleshooting_guide.md; contact_escalation.md,1,0.5,0.5,0.5,1.0,troubleshooting_guide.md,contact_escalation.md,policy_returns.md,62,78.74
ecom_medium_003,shipping,medium,"Paket diterima rusak, tapi sudah saya klik terima pesanan. Masih bisa komplain?",troubleshooting_guide.md; policy_returns.md,troubleshooting_guide.md,3,1.0,0.5,0.667,1.0,troubleshooting_guide.md,None,policy_returns.md,207,78.31
ecom_medium_004,account,medium,"Akun saya ter-hack dan ada transaksi mencurigakan, langkah apa yang harus dilakukan?",troubleshooting_guide.md; contact_escalation.md,contact_escalation.md; troubleshooting_guide.md,1,1.0,1.0,1.0,1.0,contact_escalation.md; troubleshooting_guide.md,None,None,68,82.05
