test_id,category,difficulty,query,expected_docs,retrieved_docs,num_chunks,precision,recall,f1_score,mrr,true_positives,false_positives,false_negatives,context_tokens,latency_ms
ecom_easy_001,returns,easy,Bagaimana cara return barang yang rusak?,policy_returns.md,policy_returns.md,4,1.0,1.0,1.0,1.0,policy_returns.md,None,None,556,241.87
ecom_easy_002,returns,easy,Berapa lama batas waktu return untuk produk elektronik?,policy_returns.md,policy_returns.md; product_faq.md,4,0.5,1.0,0.667,1.0,policy_returns.md,product_faq.md,None,489,12.15
ecom_easy_003,returns,easy,Apakah produk custom bisa di-return?,policy_returns.md,policy_returns.md,4,1.0,1.0,1.0,1.0,policy_returns.md,None,None,577,9.97
ecom_easy_004,returns,easy,Berapa lama refund cair ke rekening bank?,policy_returns.md,policy_returns.md; troubleshooting_guide.md,4,0.5,1.0,0.667,1.0,policy_returns.md,troubleshooting_guide.md,None,570,10.46
ecom_easy_005,contact,easy,Nomor customer service TokoPedia berapa?,contact_escalation.md,contact_escalation.md,4,1.0,1.0,1.0,1.0,contact_escalation.md,None,None,603,11.63
ecom_easy_006,contact,easy,Jam operasional live chat TokoPedia?,contact_escalation.md,contact_escalation.md,4,1.0,1.0,1.0,1.0,contact_escalation.md,None,None,612,9.72
ecom_easy_007,account,easy,Kenapa OTP tidak masuk ke HP saya?,troubleshooting_guide.md,troubleshooting_guide.md,4,1.0,1.0,1.0,1.0,troubleshooting_guide.md,None,None,633,12.06
ecom_easy_008,payment,easy,"Sudah bayar tapi status masih menunggu pembayaran, kenapa?",troubleshooting_guide.md,policy_returns.md; product_faq.md; troubleshooting_guide.md,4,0.333,1.0,0.5,0.333,troubleshooting_guide.md,product_faq.md; policy_returns.md,None,566,12.98
ecom_easy_009,shipping,easy,"Paket sudah 10 hari belum sampai, harus gimana?",troubleshooting_guide.md,product_faq.md; troubleshooting_guide.md; policy_returns.md,4,0.333,1.0,0.5,0.5,troubleshooting_guide.md,product_faq.md; policy_returns.md,None,546,12.79
ecom_easy_010,product,easy,Apa itu produk Pre-Order?,product_faq.md,product_faq.md; policy_returns.md,4,0.5,1.0,0.667,1.0,product_faq.md,policy_returns.md,None,633,11.08
ecom_easy_011,product,easy,Apakah transaksi di TokoPedia aman?,product_faq.md,policy_returns.md; product_faq.md,1,0.5,1.0,0.667,0.5,product_faq.md,policy_returns.md,None,126,9.95
ecom_easy_012,payment,easy,Berapa lama batas waktu bayar setelah checkout?,product_faq.md,policy_returns.md; contact_escalation.md; product_faq.md; troubleshooting_guide.md,4,0.333,1.0,0.5,0.333,product_faq.md,contact_escalation.md; policy_returns.md; troubleshooting_guide.md,None,543,10.01
ecom_easy_013,technical,easy,"Aplikasi sering crash, solusinya apa?",troubleshooting_guide.md,troubleshooting_guide.md,4,1.0,1.0,1.0,1.0,troubleshooting_guide.md,None,None,642,10.93
ecom_easy_014,contact,easy,Email CS TokoPedia apa ya?,contact_escalation.md,contact_escalation.md,4,1.0,1.0,1.0,1.0,contact_escalation.md,None,None,618,9.65
ecom_easy_015,returns,easy,Apakah ongkir di-refund kalau return?,policy_returns.md,policy_returns.md,4,1.0,1.0,1.0,1.0,policy_returns.md,None,None,572,10.17
ecom_medium_001,returns,medium,"Saya mau return barang tapi penjual tidak respon sudah 3 hari, bagaimana?",policy_returns.md; contact_escalation.md,policy_returns.md,4,1.0,0.5,0.667,1.0,policy_returns.md,None,contact_escalation.md,628,12.99
ecom_medium_002,payment,medium,"Bayar sudah terpotong tapi pesanan gagal, uangnya kapan balik?",troubleshooting_guide.md; policy_returns.md,policy_returns.md,4,1.0,0.5,0.667,1.0,policy_returns.md,None,troubleshooting_guide.md,649,12.18
ecom_medium_003,shipping,medium,"Paket diterima rusak, tapi sudah saya klik terima pesanan. Masih bisa komplain?",troubleshooting_guide.md; policy_returns.md,troubleshooting_guide.md; policy_returns.md,4,1.0,1.0,1.0,1.0,policy_returns.md; troubleshooting_guide.md,None,None,641,11.16
ecom_medium_004,account,medium,"Akun saya ter-hack dan ada transaksi mencurigakan, langkah apa yang harus dilakukan?",troubleshooting_guide.md; contact_escalation.md,troubleshooting_guide.md; product_faq.md; contact_escalation.md,4,0.667,1.0,0.8,1.0,contact_escalation.md; troubleshooting_guide.md,product_faq.md,None,637,15.02
ecom_medium_005,returns,medium,"Mau tukar ukuran baju yang sudah dibeli, prosesnya bagaimana?",policy_returns.md,policy_returns.md; product_faq.md,4,0.5,1.0,0.667,1.0,policy_returns.md,product_faq.md,None,644,14.01
ecom_medium_006,returns,medium,"Saya beli paket bundle, bisa return salah satu item saja atau harus semua?",policy_returns.md,policy_returns.md,4,1.0,1.0,1.0,1.0,policy_returns.md,None,None,577,13.66
ecom_medium_007,contact,medium,Response time CS berapa lama untuk kasus yang high priority?,contact_escalation.md,contact_escalation.md; policy_returns.md; product_faq.md,4,0.333,1.0,0.5,1.0,contact_escalation.md,product_faq.md; policy_returns.md,None,551,10.05
ecom_medium_008,payment,medium,"Voucher tidak bisa dipakai padahal belum expired, kenapa ya?",product_faq.md,product_faq.md; troubleshooting_guide.md; policy_returns.md,4,0.333,1.0,0.5,1.0,product_faq.md,policy_returns.md; troubleshooting_guide.md,None,621,11.34
ecom_hard_001,returns,hard,"Barang sampai rusak, seller bilang ini custom order jadi tidak bisa return. Tapi di listing tidak ada informasi itu sama sekali. Apa hak saya sebagai pembeli?",policy_returns.md; product_faq.md,policy_returns.md,4,1.0,0.5,0.667,1.0,policy_returns.md,None,product_faq.md,649,13.83
ecom_hard_002,contact,hard,Saya sudah eskalasi masalah ke CS biasa tapi tidak ada solusi setelah 5 hari. Penjual tetap tidak mau proses refund padahal barang tidak dikirim. Langkah terakhir saya apa? Apakah bisa langsung ke tim legal atau ada jalur lain?,contact_escalation.md; policy_returns.md,contact_escalation.md; policy_returns.md; product_faq.md,4,0.667,1.0,0.8,1.0,contact_escalation.md; policy_returns.md,product_faq.md,None,562,14.38
