test_id,category,difficulty,query,expected_docs,retrieved_docs,num_chunks,precision,recall,f1_score,mrr,true_positives,false_positives,false_negatives,context_tokens,latency_ms
ecom_easy_001,returns,easy,Bagaimana cara return barang yang rusak?,policy_returns.md,troubleshooting_guide.md; policy_returns.md,1,0.5,1.0,0.667,0.5,policy_returns.md,troubleshooting_guide.md,None,146,178.63
ecom_easy_002,returns,easy,Berapa lama batas waktu return untuk produk elektronik?,policy_returns.md,policy_returns.md; contact_escalation.md,1,0.5,1.0,0.667,1.0,policy_returns.md,contact_escalation.md,None,152,127.6
ecom_easy_003,returns,easy,Apakah produk custom bisa di-return?,policy_returns.md,policy_returns.md,3,1.0,1.0,1.0,1.0,policy_returns.md,None,None,452,83.75
ecom_easy_004,returns,easy,Berapa lama refund cair ke rekening bank?,policy_returns.md,policy_returns.md; product_faq.md,3,0.5,1.0,0.667,1.0,policy_returns.md,product_faq.md,None,418,82.26
ecom_easy_005,contact,easy,Nomor customer service TokoPedia berapa?,contact_escalation.md,contact_escalation.md,1,1.0,1.0,1.0,1.0,contact_escalation.md,None,None,145,80.49
ecom_easy_006,contact,easy,Jam operasional live chat TokoPedia?,contact_escalation.md,contact_escalation.md,1,1.0,1.0,1.0,1.0,contact_escalation.md,None,None,158,83.06
ecom_easy_007,account,easy,Kenapa OTP tidak masuk ke HP saya?,troubleshooting_guide.md,troubleshooting_guide.md; product_faq.md,1,0.5,1.0,0.667,1.0,troubleshooting_guide.md,product_faq.md,None,158,80.32
ecom_easy_008,payment,easy,"Sudah bayar tapi status masih menunggu pembayaran, kenapa?",troubleshooting_guide.md,troubleshooting_guide.md; product_faq.md,1,0.5,1.0,0.667,1.0,troubleshooting_guide.md,product_faq.md,None,160,83.88
ecom_easy_009,shipping,easy,"Paket sudah 10 hari belum sampai, harus gimana?",troubleshooting_guide.md,troubleshooting_guide.md; policy_returns.md,1,0.5,1.0,0.667,1.0,troubleshooting_guide.md,policy_returns.md,None,145,84.91
ecom_easy_010,product,easy,Apa itu produk Pre-Order?,product_faq.md,product_faq.md; contact_escalation.md,1,0.5,1.0,0.667,1.0,product_faq.md,contact_escalation.md,None,148,134.48
ecom_easy_011,product,easy,Apakah transaksi di TokoPedia aman?,product_faq.md,product_faq.md; contact_escalation.md,2,0.5,1.0,0.667,1.0,product_faq.md,contact_escalation.md,None,296,83.12
ecom_easy_012,payment,easy,Berapa lama batas waktu bayar setelah checkout?,product_faq.md,product_faq.md; policy_returns.md; contact_escalation.md,1,0.333,1.0,0.5,1.0,product_faq.md,contact_escalation.md; policy_returns.md,None,169,80.28
ecom_easy_013,technical,easy,"Aplikasi sering crash, solusinya apa?",troubleshooting_guide.md,troubleshooting_guide.md,1,1.0,1.0,1.0,1.0,troubleshooting_guide.md,None,None,159,81.26
ecom_easy_014,contact,easy,Email CS TokoPedia apa ya?,contact_escalation.md,contact_escalation.md,1,1.0,1.0,1.0,1.0,contact_escalation.md,None,None,145,79.87
ecom_easy_015,returns,easy,Apakah ongkir di-refund kalau return?,policy_returns.md,policy_returns.md,2,1.0,1.0,1.0,1.0,policy_returns.md,None,None,305,85.8
ecom_medium_001,returns,medium,"Saya mau return barang tapi penjual tidak respon sudah 3 hari, bagaimana?",policy_returns.md; contact_escalation.md,policy_returns.md,2,1.0,0.5,0.667,1.0,policy_returns.md,None,contact_escalation.md,298,85.98
ecom_medium_002,payment,medium,"Bayar sudah terpotong tapi pesanan gagal, uangnya kapan balik?",troubleshooting_guide.md; policy_returns.md,troubleshooting_guide.md; policy_returns.md,2,1.0,1.0,1.0,1.0,troubleshooting_guide.md; policy_returns.md,None,None,300,88.06
ecom_medium_003,shipping,medium,"Paket diterima rusak, tapi sudah saya klik terima pesanan. Masih bisa komplain?",troubleshooting_guide.md; policy_returns.md,troubleshooting_guide.md; policy_returns.md,2,1.0,1.0,1.0,1.0,troubleshooting_guide.md; policy_returns.md,None,None,291,87.76
ecom_medium_004,account,medium,"Akun saya ter-hack dan ada transaksi mencurigakan, langkah apa yang harus dilakukan?",troubleshooting_guide.md; contact_escalation.md,troubleshooting_guide.md; contact_escalation.md,1,1.0,1.0,1.0,1.0,contact_escalation.md; troubleshooting_guide.md,None,None,154,84.12
ecom_medium_005,returns,medium,"Mau tukar ukuran baju yang sudah dibeli, prosesnya bagaimana?",policy_returns.md,policy_returns.md; troubleshooting_guide.md,3,0.5,1.0,0.667,1.0,policy_returns.md,troubleshooting_guide.md,None,443,81.65
ecom_medium_006,returns,medium,"Saya beli paket bundle, bisa return salah satu item saja atau harus semua?",policy_returns.md,policy_returns.md,2,1.0,1.0,1.0,1.0,policy_returns.md,None,None,270,80.0
ecom_medium_007,contact,medium,Response time CS berapa lama untuk kasus yang high priority?,contact_escalation.md,contact_escalation.md,1,1.0,1.0,1.0,1.0,contact_escalation.md,None,None,169,83.81
ecom_medium_008,payment,medium,"Voucher tidak bisa dipakai padahal belum expired, kenapa ya?",product_faq.md,product_faq.md; troubleshooting_guide.md,1,0.5,1.0,0.667,1.0,product_faq.md,troubleshooting_guide.md,None,126,80.28
ecom_hard_001,returns,hard,"Barang sampai rusak, seller bilang ini custom order jadi tidak bisa return. Tapi di listing tidak ada informasi itu sama sekali. Apa hak saya sebagai pembeli?",policy_returns.md; product_faq.md,policy_returns.md; troubleshooting_guide.md,3,0.5,0.5,0.5,1.0,policy_returns.md,troubleshooting_guide.md,product_faq.md,437,97.09
ecom_hard_002,contact,hard,Saya sudah eskalasi masalah ke CS biasa tapi tidak ada solusi setelah 5 hari. Penjual tetap tidak mau proses refund padahal barang tidak dikirim. Langkah terakhir saya apa? Apakah bisa langsung ke tim legal atau ada jalur lain?,contact_escalation.md; policy_returns.md,contact_escalation.md; policy_returns.md; troubleshooting_guide.md,3,0.667,1.0,0.8,1.0,contact_escalation.md; policy_returns.md,troubleshooting_guide.md,None,460,98.97
