test_id,query,expected_docs,Exp9a1_chunk500_precision,Exp9a1_chunk500_recall,Exp9a1_chunk500_retrieved_docs,Exp9a1_chunk500_retrieved_text,Exp9a2_chunk700_precision,Exp9a2_chunk700_recall,Exp9a2_chunk700_retrieved_docs,Exp9a2_chunk700_retrieved_text,Quality Check Result (A1),Quality Check Result (A2),Note
ecom_easy_001,Bagaimana cara return barang yang rusak?,policy_returns.md,1,1,policy_returns.md,"[Docs] # Kebijakan Return & Refund - TokoPedia

## Ketentuan Umum Return

### Produk yang BISA di-return:
- Produk rusak/cacat dari pabrik
- Produk tidak sesuai deskripsi/foto
- Produk salah kirim (warna/ukuran/model)
- Produk tidak lengkap/kurang aksesoris
- Produk tidak original (untuk Official Store)
[Docs] ### Step 3: Kirim Balik Produk
**Packaging:**
- Gunakan packaging original jika ada
- Sertakan semua aksesoris/bonus
- Print label return dari sistem
- Foto paket sebelum kirim sebagai buk...",1,1,policy_returns.md,"[Docs] ### Step 3: Kirim Balik Produk
**Packaging:**
- Gunakan packaging original jika ada
- Sertakan semua aksesoris/bonus
- Print label return dari sistem
- Foto paket sebelum kirim sebagai bukti

**Pengiriman:**
- Gunakan kurir yang ditentukan sistem
- Input resi dalam 3x24 jam
- Ongkir ditanggung pembeli (kecuali kesalahan penjual)

### Step 4: Verifikasi Penjual
- Penjual cek kondisi produk (maks 2 hari)
- Konfirmasi penerimaan di sistem
- Jika ada dispute, TokoPedia akan mediasi

## Kebija...",0,0,"prosedural, kurang lengkap"
ecom_easy_002,Berapa lama batas waktu return untuk produk elektronik?,policy_returns.md,1,1,policy_returns.md,"[Docs] ### Produk yang TIDAK BISA di-return:
- Produk digital (voucher, software, top-up)
- Makanan, minuman, dan produk kadaluarsa
- Produk custom/made-by-order
- Produk yang sudah dibuka segel khusus
- Underwear dan produk kesehatan personal
- Produk dengan tag ""No Return"" yang jelas

### Batas waktu pengajuan return:
- **Elektronik**: 7 hari sejak diterima
- **Fashion**: 3 hari sejak diterima
- **Lainnya**: 2 hari sejak diterima
- **Garansi toko**: Sesuai ketentuan masing-masing toko",0.5,1,policy_returns.md; contact_escalation.md,"[Docs] ### Batas waktu pengajuan return:
- **Elektronik**: 7 hari sejak diterima
- **Fashion**: 3 hari sejak diterima
- **Lainnya**: 2 hari sejak diterima
- **Garansi toko**: Sesuai ketentuan masing-masing toko

## Prosedur Return

### Step 1: Ajukan Return
1. Buka ""Pesanan Saya"" → pilih transaksi
2. Klik ""Ajukan Return/Refund""
3. Pilih alasan return dari dropdown
4. Upload bukti (foto/video) minimal 3 gambar
5. Tulis deskripsi masalah detail

### Step 2: Persetujuan Penjual
- Penjual punya 2x24...",1,1,
ecom_easy_003,Apakah produk custom bisa di-return?,policy_returns.md,1,1,policy_returns.md,"[Docs] ### Produk yang TIDAK BISA di-return:
- Produk digital (voucher, software, top-up)
- Makanan, minuman, dan produk kadaluarsa
- Produk custom/made-by-order
- Produk yang sudah dibuka segel khusus
- Underwear dan produk kesehatan personal
- Produk dengan tag ""No Return"" yang jelas

### Batas waktu pengajuan return:
- **Elektronik**: 7 hari sejak diterima
- **Fashion**: 3 hari sejak diterima
- **Lainnya**: 2 hari sejak diterima
- **Garansi toko**: Sesuai ketentuan masing-masing toko
[Docs] #...",1,1,policy_returns.md,"[Docs] # Kebijakan Return & Refund - TokoPedia

## Ketentuan Umum Return

### Produk yang BISA di-return:
- Produk rusak/cacat dari pabrik
- Produk tidak sesuai deskripsi/foto
- Produk salah kirim (warna/ukuran/model)
- Produk tidak lengkap/kurang aksesoris
- Produk tidak original (untuk Official Store)

### Produk yang TIDAK BISA di-return:
- Produk digital (voucher, software, top-up)
- Makanan, minuman, dan produk kadaluarsa
- Produk custom/made-by-order
- Produk yang sudah dibuka segel khusus...",1,0.8,
ecom_easy_004,Berapa lama refund cair ke rekening bank?,policy_returns.md,0.5,1,policy_returns.md; troubleshooting_guide.md,"[Docs] ## Kebijakan Refund

### Metode Refund:
1. **Saldo TokoPedia** (instant)
2. **Rekening Bank** (3-7 hari kerja)
3. **Kartu Kredit** (7-14 hari kerja)
4. **E-wallet** (1-3 hari kerja)
[Docs] ## Masalah Pembayaran

### Pembayaran gagal tapi saldo terpotong
**Gejala:** Notifikasi gagal tapi uang sudah terpotong dari rekening

**Solusi:**
1. **Jangan bayar ulang!**
2. Cek status pesanan dalam 1x24 jam
3. Saldo akan auto-refund dalam 3-7 hari kerja
4. Jika >7 hari, kirim bukti mutasi rekening k...",0.5,1,troubleshooting_guide.md; policy_returns.md,"[Docs] ### Akun terkena hack/pembajakan
**Gejala:** Ada transaksi mencurigakan, password berubah sendiri

**Tindakan Cepat:**
1. **SEGERA** hubungi CS via 1500-600
2. Screenshot semua bukti aktivitas mencurigakan
3. Ubah password email yang terhubung
4. Aktifkan verifikasi 2 langkah setelah akun dipulihkan

## Masalah Pembayaran

### Pembayaran gagal tapi saldo terpotong
**Gejala:** Notifikasi gagal tapi uang sudah terpotong dari rekening

**Solusi:**
1. **Jangan bayar ulang!**
2. Cek status pes...",1,0,
ecom_easy_005,Nomor customer service TokoPedia berapa?,contact_escalation.md,1,1,contact_escalation.md,"[Docs] ### Community Forum
- **URL**: community.tokopedia.com
- **Best for**: Tips, diskusi, sharing pengalaman
- **Moderator response**: 1-2 hari kerja

## Level 2: Customer Service

### Live Chat
- **Jam operasional**: 08:00 - 22:00 WIB
- **Queue time**: 5-15 menit (peak: 30 menit)
- **Prioritas untuk**:
  - Transaksi > Rp 1 juta
  - Member Gold/Platinum
  - Case urgent (fraud, hack)",1,1,contact_escalation.md,"[Docs] ## Level 2: Customer Service

### Live Chat
- **Jam operasional**: 08:00 - 22:00 WIB
- **Queue time**: 5-15 menit (peak: 30 menit)
- **Prioritas untuk**:
  - Transaksi > Rp 1 juta
  - Member Gold/Platinum
  - Case urgent (fraud, hack)

### Call Center
- **Nomor**: 1500-600
- **Jam**: 24/7
- **Panduan IVR**:
  - Tekan 1: Masalah Pesanan
  - Tekan 2: Pembayaran & Refund
  - Tekan 3: Akun & Keamanan
  - Tekan 4: Lainnya
  - Tekan 0: Langsung ke agent

### Email Support
- **Regular**: cs@toko...",0,1,
ecom_easy_006,Jam operasional live chat TokoPedia?,contact_escalation.md,1,1,contact_escalation.md,"[Docs] ### Community Forum
- **URL**: community.tokopedia.com
- **Best for**: Tips, diskusi, sharing pengalaman
- **Moderator response**: 1-2 hari kerja

## Level 2: Customer Service

### Live Chat
- **Jam operasional**: 08:00 - 22:00 WIB
- **Queue time**: 5-15 menit (peak: 30 menit)
- **Prioritas untuk**:
  - Transaksi > Rp 1 juta
  - Member Gold/Platinum
  - Case urgent (fraud, hack)",1,1,contact_escalation.md,"[Docs] ## Level 2: Customer Service

### Live Chat
- **Jam operasional**: 08:00 - 22:00 WIB
- **Queue time**: 5-15 menit (peak: 30 menit)
- **Prioritas untuk**:
  - Transaksi > Rp 1 juta
  - Member Gold/Platinum
  - Case urgent (fraud, hack)

### Call Center
- **Nomor**: 1500-600
- **Jam**: 24/7
- **Panduan IVR**:
  - Tekan 1: Masalah Pesanan
  - Tekan 2: Pembayaran & Refund
  - Tekan 3: Akun & Keamanan
  - Tekan 4: Lainnya
  - Tekan 0: Langsung ke agent

### Email Support
- **Regular**: cs@toko...",1,0.8,
ecom_easy_007,Kenapa OTP tidak masuk ke HP saya?,troubleshooting_guide.md,1,1,troubleshooting_guide.md,"[Docs] # Troubleshooting Guide - TokoPedia Customer Service

## Masalah Login dan Akun

### Tidak bisa login ke akun
**Gejala:** Error ""Username/password salah"" atau ""Akun tidak ditemukan""

**Solusi:**
1. Pastikan email/nomor HP sudah benar
2. Cek huruf besar/kecil pada password
3. Gunakan fitur ""Lupa Password"" 
4. Jika tetap gagal, kemungkinan akun ter-suspend (hubungi CS)

### Tidak menerima OTP
**Gejala:** Kode OTP tidak masuk ke SMS/email",1,1,troubleshooting_guide.md,"[Docs] # Troubleshooting Guide - TokoPedia Customer Service

## Masalah Login dan Akun

### Tidak bisa login ke akun
**Gejala:** Error ""Username/password salah"" atau ""Akun tidak ditemukan""

**Solusi:**
1. Pastikan email/nomor HP sudah benar
2. Cek huruf besar/kecil pada password
3. Gunakan fitur ""Lupa Password"" 
4. Jika tetap gagal, kemungkinan akun ter-suspend (hubungi CS)

### Tidak menerima OTP
**Gejala:** Kode OTP tidak masuk ke SMS/email

**Solusi:**
1. Tunggu hingga 5 menit
2. Cek folder s...",0.1,0.3,
ecom_easy_008,"Sudah bayar tapi status masih menunggu pembayaran, kenapa?",troubleshooting_guide.md,0.5,1,troubleshooting_guide.md; policy_returns.md,"[Docs] ## Masalah Pembayaran

### Pembayaran gagal tapi saldo terpotong
**Gejala:** Notifikasi gagal tapi uang sudah terpotong dari rekening

**Solusi:**
1. **Jangan bayar ulang!**
2. Cek status pesanan dalam 1x24 jam
3. Saldo akan auto-refund dalam 3-7 hari kerja
4. Jika >7 hari, kirim bukti mutasi rekening ke CS

### Virtual Account tidak terdeteksi
**Gejala:** Sudah transfer tapi status masih ""Menunggu Pembayaran""",0.5,1,troubleshooting_guide.md; policy_returns.md,"[Docs] ### Virtual Account tidak terdeteksi
**Gejala:** Sudah transfer tapi status masih ""Menunggu Pembayaran""

**Solusi:**
1. Pastikan nominal transfer tepat hingga digit terakhir
2. Tunggu 10-30 menit untuk proses verifikasi
3. Upload bukti transfer di halaman pesanan
4. Pastikan transfer ke VA yang benar (cek nomor VA)

## Masalah Pengiriman

### Paket tidak kunjung diterima
**Timeline pengecekan:**
- H+1: Cek nomor resi di kurir
- H+3: Hubungi penjual
- H+7: Ajukan komplain di sistem
- H+10:...",0.1,1,
ecom_easy_009,"Paket sudah 10 hari belum sampai, harus gimana?",troubleshooting_guide.md,1,1,troubleshooting_guide.md,"[Docs] ### Alamat pengiriman salah
**Jika belum dikirim:**
- Hubungi penjual SEGERA untuk ubah alamat
- Biaya perubahan ditanggung pembeli

**Jika sudah dikirim:**
- Koordinasi dengan kurir untuk redirect (biaya tambahan)
- Jika gagal, paket akan retur ke penjual
- Diskusikan re-pengiriman dengan penjual

## Masalah Produk

### Produk tidak sesuai deskripsi
**Bukti yang diperlukan:**
1. Foto produk yang diterima (berbagai angle)
2. Screenshot deskripsi/foto dari listing
3. Video unboxing jika ad...",0.5,1,troubleshooting_guide.md; policy_returns.md,"[Docs] ### Paket diterima dalam kondisi rusak
**Langkah immediate:**
1. **JANGAN konfirmasi pesanan diterima**
2. Foto/video kondisi paket (packaging + isi)
3. Buat komplain dengan kategori ""Barang Rusak""
4. Tolak paket jika kerusakan parah (saat kurir masih ada)

### Alamat pengiriman salah
**Jika belum dikirim:**
- Hubungi penjual SEGERA untuk ubah alamat
- Biaya perubahan ditanggung pembeli

**Jika sudah dikirim:**
- Koordinasi dengan kurir untuk redirect (biaya tambahan)
- Jika gagal, paket ...",0,0,"tough question, mungkin butuh semacam metode untuk bisa parafprase gitu"
ecom_easy_010,Apa itu produk Pre-Order?,product_faq.md,0.5,1,product_faq.md; policy_returns.md,"[Docs] ### Q: Apa itu produk ""Ready Stock"" dan ""Pre-Order""?
**A:** 
- **Ready Stock**: Produk tersedia dan siap dikirim dalam 1-2 hari kerja
- **Pre-Order**: Produk akan tersedia dalam 7-30 hari. Waktu spesifik tertera di deskripsi produk

### Q: Bagaimana cara mengecek keaslian produk?
**A:** TokoPedia menjamin keaslian produk melalui:
- Badge ""Official Store"" untuk toko resmi
- Program ""100% Ori"" dengan jaminan uang kembali
- Verifikasi nomor seri untuk produk elektronik tertentu",0.5,1,product_faq.md; policy_returns.md,"[Docs] # Product FAQ - TokoPedia Customer Service Knowledge Base

## Informasi Umum Produk

### Q: Bagaimana cara mencari produk di TokoPedia?
**A:** Anda dapat mencari produk dengan 3 cara:
1. Gunakan search bar di bagian atas halaman
2. Browse melalui kategori produk di menu utama
3. Gunakan filter pencarian (harga, lokasi, rating) untuk hasil lebih spesifik

### Q: Apa itu produk ""Ready Stock"" dan ""Pre-Order""?
**A:** 
- **Ready Stock**: Produk tersedia dan siap dikirim dalam 1-2 hari kerja
- ...",1,0,
