test_id,category,difficulty,query,expected_docs,retrieved_docs,num_chunks,precision,recall,f1_score,mrr,true_positives,false_positives,false_negatives,context_tokens,latency_ms
ecom_easy_001,returns,easy,Bagaimana cara return barang yang rusak?,policy_returns.md,policy_returns.md,3,1.0,1.0,1.0,1.0,policy_returns.md,,,273,842.72
ecom_easy_002,returns,easy,Berapa lama batas waktu return untuk produk elektronik?,policy_returns.md,policy_returns.md | product_faq.md,3,0.5,1.0,0.667,1.0,policy_returns.md,product_faq.md,,339,79.82
ecom_easy_003,returns,easy,Apakah produk custom bisa di-return?,policy_returns.md,policy_returns.md,3,1.0,1.0,1.0,1.0,policy_returns.md,,,322,47.57
ecom_easy_004,returns,easy,Berapa lama refund cair ke rekening bank?,policy_returns.md,policy_returns.md | troubleshooting_guide.md,3,0.5,1.0,0.667,1.0,policy_returns.md,troubleshooting_guide.md,,325,74.14
ecom_easy_005,contact,easy,Nomor customer service TokoPedia berapa?,contact_escalation.md,contact_escalation.md | troubleshooting_guide.md | product_faq.md,3,0.333,1.0,0.5,1.0,contact_escalation.md,troubleshooting_guide.md | product_faq.md,,302,48.85
ecom_easy_006,contact,easy,Jam operasional live chat TokoPedia?,contact_escalation.md,contact_escalation.md | product_faq.md,3,0.5,1.0,0.667,1.0,contact_escalation.md,product_faq.md,,265,49.03
ecom_easy_007,account,easy,Kenapa OTP tidak masuk ke HP saya?,troubleshooting_guide.md,troubleshooting_guide.md | product_faq.md,3,0.5,1.0,0.667,1.0,troubleshooting_guide.md,product_faq.md,,300,52.93
ecom_easy_008,payment,easy,"Sudah bayar tapi status masih menunggu pembayaran, kenapa?",troubleshooting_guide.md,troubleshooting_guide.md | product_faq.md,3,0.5,1.0,0.667,1.0,troubleshooting_guide.md,product_faq.md,,345,73.25
ecom_easy_009,shipping,easy,"Paket sudah 10 hari belum sampai, harus gimana?",troubleshooting_guide.md,troubleshooting_guide.md,3,1.0,1.0,1.0,1.0,troubleshooting_guide.md,,,325,45.31
ecom_easy_010,product,easy,Apa itu produk Pre-Order?,product_faq.md,product_faq.md | policy_returns.md,3,0.5,1.0,0.667,1.0,product_faq.md,policy_returns.md,,358,45.91
ecom_easy_011,product,easy,Apakah transaksi di TokoPedia aman?,product_faq.md,product_faq.md | contact_escalation.md,3,0.5,1.0,0.667,1.0,product_faq.md,contact_escalation.md,,290,45.19
ecom_easy_012,payment,easy,Berapa lama batas waktu bayar setelah checkout?,product_faq.md,product_faq.md | policy_returns.md | troubleshooting_guide.md,3,0.333,1.0,0.5,1.0,product_faq.md,troubleshooting_guide.md | policy_returns.md,,343,44.87
ecom_easy_013,technical,easy,"Aplikasi sering crash, solusinya apa?",troubleshooting_guide.md,troubleshooting_guide.md,3,1.0,1.0,1.0,1.0,troubleshooting_guide.md,,,346,44.04
ecom_easy_014,contact,easy,Email CS TokoPedia apa ya?,contact_escalation.md,contact_escalation.md | troubleshooting_guide.md,3,0.5,1.0,0.667,1.0,contact_escalation.md,troubleshooting_guide.md,,326,42.89
ecom_easy_015,returns,easy,Apakah ongkir di-refund kalau return?,policy_returns.md,policy_returns.md,3,1.0,1.0,1.0,1.0,policy_returns.md,,,368,41.25
ecom_medium_001,returns,medium,"Saya mau return barang tapi penjual tidak respon sudah 3 hari, bagaimana?",policy_returns.md | contact_escalation.md,policy_returns.md,3,1.0,0.5,0.667,1.0,policy_returns.md,,contact_escalation.md,347,74.36
ecom_medium_002,payment,medium,"Bayar sudah terpotong tapi pesanan gagal, uangnya kapan balik?",troubleshooting_guide.md | policy_returns.md,troubleshooting_guide.md,3,1.0,0.5,0.667,1.0,troubleshooting_guide.md,,policy_returns.md,335,78.27
ecom_medium_003,shipping,medium,"Paket diterima rusak, tapi sudah saya klik terima pesanan. Masih bisa komplain?",troubleshooting_guide.md | policy_returns.md,troubleshooting_guide.md,3,1.0,0.5,0.667,1.0,troubleshooting_guide.md,,policy_returns.md,320,81.15
ecom_medium_004,account,medium,"Akun saya ter-hack dan ada transaksi mencurigakan, langkah apa yang harus dilakukan?",troubleshooting_guide.md | contact_escalation.md,troubleshooting_guide.md | contact_escalation.md | product_faq.md,3,0.667,1.0,0.8,1.0,troubleshooting_guide.md | contact_escalation.md,product_faq.md,,305,76.03
ecom_medium_005,returns,medium,"Mau tukar ukuran baju yang sudah dibeli, prosesnya bagaimana?",policy_returns.md,policy_returns.md | troubleshooting_guide.md,3,0.5,1.0,0.667,1.0,policy_returns.md,troubleshooting_guide.md,,355,69.54
ecom_medium_006,returns,medium,"Saya beli paket bundle, bisa return salah satu item saja atau harus semua?",policy_returns.md,policy_returns.md,3,1.0,1.0,1.0,1.0,policy_returns.md,,,341,75.67
ecom_medium_007,contact,medium,Response time CS berapa lama untuk kasus yang high priority?,contact_escalation.md,contact_escalation.md | troubleshooting_guide.md,3,0.5,1.0,0.667,1.0,contact_escalation.md,troubleshooting_guide.md,,235,71.49
ecom_medium_008,payment,medium,"Voucher tidak bisa dipakai padahal belum expired, kenapa ya?",product_faq.md,product_faq.md | policy_returns.md,3,0.5,1.0,0.667,1.0,product_faq.md,policy_returns.md,,309,45.03
ecom_hard_001,returns,hard,"Barang sampai rusak, seller bilang ini custom order jadi tidak bisa return. Tapi di listing tidak ada informasi itu sama sekali. Apa hak saya sebagai pembeli?",policy_returns.md | product_faq.md,policy_returns.md,3,1.0,0.5,0.667,1.0,policy_returns.md,,product_faq.md,342,91.92
