test_id,category,difficulty,query,expected_docs,retrieved_docs,num_chunks,precision,recall,f1_score,mrr,true_positives,false_positives,false_negatives,context_tokens,latency_ms
ecom_easy_001,returns,easy,Bagaimana cara return barang yang rusak?,policy_returns.md,policy_returns.md,1,1.0,1.0,1.0,1.0,policy_returns.md,None,None,76,179.78
ecom_easy_002,returns,easy,Berapa lama batas waktu return untuk produk elektronik?,policy_returns.md,policy_returns.md; troubleshooting_guide.md; contact_escalation.md,1,0.333,1.0,0.5,1.0,policy_returns.md,troubleshooting_guide.md; contact_escalation.md,None,122,128.36
ecom_easy_003,returns,easy,Apakah produk custom bisa di-return?,policy_returns.md,policy_returns.md,3,1.0,1.0,1.0,1.0,policy_returns.md,None,None,322,80.9
ecom_easy_004,returns,easy,Berapa lama refund cair ke rekening bank?,policy_returns.md,policy_returns.md; troubleshooting_guide.md; product_faq.md,3,0.333,1.0,0.5,1.0,policy_returns.md,troubleshooting_guide.md; product_faq.md,None,268,81.23
ecom_easy_005,contact,easy,Nomor customer service TokoPedia berapa?,contact_escalation.md,contact_escalation.md,1,1.0,1.0,1.0,1.0,contact_escalation.md,None,None,100,80.94
ecom_easy_006,contact,easy,Jam operasional live chat TokoPedia?,contact_escalation.md,contact_escalation.md,1,1.0,1.0,1.0,1.0,contact_escalation.md,None,None,97,79.67
ecom_easy_007,account,easy,Kenapa OTP tidak masuk ke HP saya?,troubleshooting_guide.md,troubleshooting_guide.md,1,1.0,1.0,1.0,1.0,troubleshooting_guide.md,None,None,111,79.99
ecom_easy_008,payment,easy,"Sudah bayar tapi status masih menunggu pembayaran, kenapa?",troubleshooting_guide.md,troubleshooting_guide.md,1,1.0,1.0,1.0,1.0,troubleshooting_guide.md,None,None,105,94.24
ecom_easy_009,shipping,easy,"Paket sudah 10 hari belum sampai, harus gimana?",troubleshooting_guide.md,troubleshooting_guide.md,1,1.0,1.0,1.0,1.0,troubleshooting_guide.md,None,None,125,88.53
ecom_easy_010,product,easy,Apa itu produk Pre-Order?,product_faq.md,product_faq.md; policy_returns.md,1,0.5,1.0,0.667,1.0,product_faq.md,policy_returns.md,None,121,102.03
ecom_easy_011,product,easy,Apakah transaksi di TokoPedia aman?,product_faq.md,product_faq.md; contact_escalation.md,2,0.5,1.0,0.667,1.0,product_faq.md,contact_escalation.md,None,193,104.27
ecom_easy_012,payment,easy,Berapa lama batas waktu bayar setelah checkout?,product_faq.md,product_faq.md; policy_returns.md; contact_escalation.md,1,0.333,1.0,0.5,1.0,product_faq.md,contact_escalation.md; policy_returns.md,None,115,90.55
ecom_easy_013,technical,easy,"Aplikasi sering crash, solusinya apa?",troubleshooting_guide.md,troubleshooting_guide.md,1,1.0,1.0,1.0,1.0,troubleshooting_guide.md,None,None,102,91.19
ecom_easy_014,contact,easy,Email CS TokoPedia apa ya?,contact_escalation.md,contact_escalation.md,1,1.0,1.0,1.0,1.0,contact_escalation.md,None,None,114,83.93
ecom_easy_015,returns,easy,Apakah ongkir di-refund kalau return?,policy_returns.md,policy_returns.md,2,1.0,1.0,1.0,1.0,policy_returns.md,None,None,231,168.23
ecom_medium_001,returns,medium,"Saya mau return barang tapi penjual tidak respon sudah 3 hari, bagaimana?",policy_returns.md; contact_escalation.md,policy_returns.md,2,1.0,0.5,0.667,1.0,policy_returns.md,None,contact_escalation.md,225,95.38
ecom_medium_002,payment,medium,"Bayar sudah terpotong tapi pesanan gagal, uangnya kapan balik?",troubleshooting_guide.md; policy_returns.md,troubleshooting_guide.md,1,1.0,0.5,0.667,1.0,troubleshooting_guide.md,None,policy_returns.md,105,102.84
ecom_medium_003,shipping,medium,"Paket diterima rusak, tapi sudah saya klik terima pesanan. Masih bisa komplain?",troubleshooting_guide.md; policy_returns.md,troubleshooting_guide.md,3,1.0,0.5,0.667,1.0,troubleshooting_guide.md,None,policy_returns.md,341,88.35
ecom_medium_004,account,medium,"Akun saya ter-hack dan ada transaksi mencurigakan, langkah apa yang harus dilakukan?",troubleshooting_guide.md; contact_escalation.md,troubleshooting_guide.md; contact_escalation.md,1,1.0,1.0,1.0,1.0,troubleshooting_guide.md; contact_escalation.md,None,None,124,97.22
ecom_medium_005,returns,medium,"Mau tukar ukuran baju yang sudah dibeli, prosesnya bagaimana?",policy_returns.md,policy_returns.md; troubleshooting_guide.md,3,0.5,1.0,0.667,1.0,policy_returns.md,troubleshooting_guide.md,None,356,104.22
ecom_medium_006,returns,medium,"Saya beli paket bundle, bisa return salah satu item saja atau harus semua?",policy_returns.md,policy_returns.md,2,1.0,1.0,1.0,1.0,policy_returns.md,None,None,218,105.18
ecom_medium_007,contact,medium,Response time CS berapa lama untuk kasus yang high priority?,contact_escalation.md,contact_escalation.md,3,1.0,1.0,1.0,1.0,contact_escalation.md,None,None,291,96.19
